"","Batch","Strain","Replicate","DPI","DI","subject"
"215","3","Xa",2,3,1,"Xa.2.3"
"216","3","Xa",3,3,1,"Xa.3.3"
"217","3","Xa",1,6,1,"Xa.1.3"
"218","3","Xa",2,6,1,"Xa.2.3"
"219","3","Xa",3,6,1,"Xa.3.3"
"220","3","Xa",1,9,1,"Xa.1.3"
"221","3","Xa",2,9,1,"Xa.2.3"
"222","3","Xa",3,9,1,"Xa.3.3"
"223","3","Xa",1,14,1,"Xa.1.3"
"224","3","Xa",2,14,1,"Xa.2.3"
"225","3","Xa",3,14,1,"Xa.3.3"
"226","3","XpPc",1,0,1,"XpPc.1.3"
"227","3","XpPc",2,0,1,"XpPc.2.3"
"228","3","XpPc",3,0,1,"XpPc.3.3"
"229","3","XpPc",1,3,1,"XpPc.1.3"
"230","3","XpPc",2,3,1,"XpPc.2.3"
"231","3","XpPc",3,3,1,"XpPc.3.3"
"232","3","XpPc",1,6,2,"XpPc.1.3"
"233","3","XpPc",2,6,1,"XpPc.2.3"
"234","3","XpPc",3,6,2,"XpPc.3.3"
"235","3","XpPc",1,9,2,"XpPc.1.3"
"236","3","XpPc",2,9,3,"XpPc.2.3"
"237","3","XpPc",3,9,3,"XpPc.3.3"
"238","3","XpPc",1,14,3,"XpPc.1.3"
"239","3","XpPc",2,14,4,"XpPc.2.3"
"240","3","XpPc",3,14,4,"XpPc.3.3"
"241","3","XpXa",1,0,1,"XpXa.1.3"
"242","3","XpXa",2,0,1,"XpXa.2.3"
"243","3","XpXa",3,0,1,"XpXa.3.3"
"244","3","XpXa",1,3,1,"XpXa.1.3"
"245","3","XpXa",2,3,1,"XpXa.2.3"
"246","3","XpXa",3,3,1,"XpXa.3.3"
"247","3","XpXa",1,6,2,"XpXa.1.3"
"248","3","XpXa",2,6,2,"XpXa.2.3"
"249","3","XpXa",3,6,2,"XpXa.3.3"
"250","3","XpXa",1,9,3,"XpXa.1.3"
"251","3","XpXa",2,9,3,"XpXa.2.3"
"252","3","XpXa",3,9,4,"XpXa.3.3"
"253","3","XpXa",1,14,4,"XpXa.1.3"
"254","3","XpXa",2,14,4,"XpXa.2.3"
"255","3","XpXa",3,14,4,"XpXa.3.3"
"256","3","XpPcXa",1,0,1,"XpPcXa.1.3"
"257","3","XpPcXa",2,0,1,"XpPcXa.2.3"
"258","3","XpPcXa",3,0,1,"XpPcXa.3.3"
"259","3","XpPcXa",1,3,2,"XpPcXa.1.3"
"260","3","XpPcXa",2,3,1,"XpPcXa.2.3"
"261","3","XpPcXa",3,3,1,"XpPcXa.3.3"
"262","3","XpPcXa",1,6,4,"XpPcXa.1.3"
"263","3","XpPcXa",2,6,5,"XpPcXa.2.3"
"264","3","XpPcXa",3,6,3,"XpPcXa.3.3"
"265","3","XpPcXa",1,9,5,"XpPcXa.1.3"
"266","3","XpPcXa",2,9,5,"XpPcXa.2.3"
"267","3","XpPcXa",3,9,5,"XpPcXa.3.3"
"268","3","XpPcXa",1,14,5,"XpPcXa.1.3"
"269","3","XpPcXa",2,14,6,"XpPcXa.2.3"
"270","3","XpPcXa",3,14,7,"XpPcXa.3.3"
